,0,1,2,3,4,5
222,625.0704,9.268999999999999e-27,4,5,132,164
223,625.1742,9.875e-27,4,5,132,164
224,625.2219,3.0719999999999997e-26,4,5,132,164
225,625.2746,1.044e-26,4,5,132,164
226,625.3017,6.569999999999999e-26,4,5,132,164
227,625.3716,1.0970000000000001e-26,4,5,132,164
228,625.387,8.453e-27,4,5,132,164
229,625.4651,1.1400000000000001e-26,4,5,132,164
230,625.5313,5.860000000000001e-26,4,5,132,164
231,625.5551,1.1719999999999999e-26,4,5,132,164
232,625.6417,1.1929999999999999e-26,4,5,132,164
233,625.6531,1.8930000000000003e-26,4,5,132,164
234,625.7248,1.1969999999999998e-26,4,5,132,164
235,625.8043,1.1829999999999999e-26,4,5,132,164
236,625.8095,4.759e-26,4,5,132,164
237,625.8804,1.1509999999999999e-26,4,5,132,164
238,625.9529,1.0899999999999999e-26,4,5,132,164
239,626.0218,1.005e-26,4,5,132,164
240,626.0419999999999,3.5520000000000005e-27,4,5,132,164
241,626.0872,8.843e-27,4,5,132,164
242,626.149,7.281e-27,4,5,132,164
243,626.1501,3.445e-26,4,5,132,164
244,626.2073,5.327e-27,4,5,132,164
245,626.2881,9.981e-27,4,5,132,164
246,626.4271,6.287000000000001e-26,4,5,132,164
247,626.5882,2.17e-26,4,5,132,164
248,626.7214,5.221e-26,4,5,132,164
249,627.0757,3.8360000000000005e-26,4,5,132,164
250,627.2316,1.1719999999999999e-26,4,5,132,164
251,627.3195,6.748e-26,4,5,132,164
252,627.5216,2.479e-26,4,5,132,164
253,627.6301,5.683e-26,4,5,132,164
254,627.9912,5.221e-27,4,5,132,164
255,627.9985,4.262e-26,4,5,132,164
256,628.097,4.333e-27,4,5,132,164
257,628.1451,1.371e-26,4,5,132,164
258,628.2084,7.21e-26,4,5,132,164
259,628.4531,2.816e-26,4,5,132,164
260,628.5356,6.180000000000001e-26,4,5,132,164
261,628.5502,6.462999999999999e-27,4,5,132,164
262,628.6792,7.245e-27,4,5,132,164
263,628.8051,8.097e-27,4,5,132,164
264,628.9184,4.723e-26,4,5,132,164
265,628.9278,8.985999999999999e-27,4,5,132,164
266,629.0473,9.912999999999999e-27,4,5,132,164
